georeference,ada_notes,cbd,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id,ada_southbound,ada_northbound,ada
POINT (-73.98197 40.778453),,false,Downtown,Uptown,-73.98197,40.778453,Subway,1 2 3,M,72 St,Broadway - 7Av,IRT,123,313,313,1,1,1
POINT (-73.820574 40.709179),,false,Manhattan,Jamaica,-73.820574,40.709179,Subway,E F,Q,Briarwood,Queens Blvd,IND,F05,258,258,0,0,0
POINT (-73.968916 40.785868),,false,Downtown,Uptown,-73.968916,40.785868,Subway,C B,M,86 St,8th Av - Fulton St,IND,A20,158,158,0,0,0
POINT (-73.961639 40.62927),,false,Southbound,Manhattan,-73.961639,40.62927,Open Cut,Q,Bk,Avenue H,Broadway - Brighton,BMT,D32,48,48,1,1,1
POINT (-74.013783 40.707513),,true,Downtown,Uptown,-74.013783,40.707513,Subway,1,M,Rector St,Broadway - 7Av,IRT,139,329,329,0,0,0
POINT (-73.903077 40.704423),,false,Middle Village,Inbound,-73.903077,40.704423,Elevated,M,Q,Forest Av,Myrtle Av,BMT,M05,110,110,0,0,0
POINT (-73.971046 40.675235),,false,Outbound,Manhattan,-73.971046,40.675235,Subway,2 3,Bk,Grand Army Plaza,Eastern Pky,IRT,237,340,340,0,0,0
POINT (-73.990862 40.686145),,false,Southbound,Northbound,-73.990862,40.686145,Subway,F G,Bk,Bergen St,6th Av - Culver,IND,F20,236,236,0,0,0
POINT (-73.891338 40.746644),,false,Manhattan,Outbound,-73.891338,40.746644,Subway,E F M R,Q,Jackson Hts-Roosevelt Av,Queens Blvd,IND,G14,616,267,1,1,1
POINT (-73.955589 40.779492),Uptown local only,false,Downtown,Uptown,-73.955589,40.779492,Subway,4 5 6,M,86 St,Lexington Av,IRT,626,397,397,0,1,2
POINT (-73.973357 40.596063),,false,Coney Island,Manhattan,-73.973357,40.596063,Elevated,F,Bk,Avenue U,6th Av - Culver,IND,F36,251,251,0,0,0
POINT (-74.012188 40.711835),,true,Downtown,Uptown,-74.012188,40.711835,Subway,1,M,WTC Cortlandt,Broadway - 7Av,IRT,138,328,328,1,1,1
POINT (-73.890358 40.67271),,false,Outbound,Manhattan,-73.890358,40.67271,Subway,C,Bk,Van Siclen Av,8th Av - Fulton St,IND,A53,186,186,0,0,0
POINT (-73.919899 40.868072),,false,Downtown,Last Stop,-73.919899,40.868072,Subway,A,M,Inwood-207 St,8th Av - Fulton St,IND,A02,143,143,1,1,1
POINT (-73.964492 40.644031),,false,Southbound,Manhattan,-73.964492,40.644031,Open Cut,Q,Bk,Beverley Rd,Broadway - Brighton,BMT,D29,45,45,0,0,0
POINT (-74.073643 40.643748),,false,South Shore,Last Stop,-74.073643,40.643748,Open Cut,SIR,SI,St George,Staten Island,SIR,S31,501,501,1,1,1
POINT (-73.880049 40.840295),,false,Manhattan,Northbound,-73.880049,40.840295,Elevated,2 5,Bx,West Farms Sq-E Tremont Av,Lenox - White Plains Rd,IRT,214,427,427,0,0,0
POINT (-73.913333 40.756312),,false,Manhattan,Outbound,-73.913333,40.756312,Subway,M R,Q,46 St,Queens Blvd,IND,G18,270,270,0,0,0
POINT (-73.938209 40.830135),,false,Downtown,The Bronx,-73.938209,40.830135,Subway,B D,M,155 St,Concourse,IND,D12,220,220,0,0,0
POINT (-73.828121 40.852462),,false,Manhattan,Last Stop,-73.828121,40.852462,Elevated,6,Bx,Pelham Bay Park,Pelham,IRT,601,360,360,1,1,1
POINT (-73.990531 40.699337),,false,Outbound,Manhattan,-73.990531,40.699337,Subway,A C,Bk,High St,8th Av - Fulton St,IND,A40,173,173,0,0,0
POINT (-73.891865 40.829993),,false,Manhattan,Northbound,-73.891865,40.829993,Elevated,2 5,Bx,Freeman St,Lenox - White Plains Rd,IRT,216,429,429,0,0,0
POINT (-73.924016 40.743781),,false,Manhattan,Outbound,-73.924016,40.743781,Elevated,7,Q,40 St-Lowery St,Flushing,IRT,715,459,459,0,0,0
POINT (-73.932755 40.752882),,false,Manhattan,Astoria,-73.932755,40.752882,Elevated,N W,Q,39 Av-Dutch Kills,Astoria,BMT,R08,6,6,0,0,0
POINT (-73.946 40.747846),Manhattan-bound only,false,Manhattan,Outbound,-73.946,40.747846,Subway,E F,Q,Court Sq-23 St,Queens Blvd,IND,F09,606,274,1,0,2
POINT (-73.988302 40.670847),,false,Southbound,Manhattan,-73.988302,40.670847,Subway,R,Bk,4 Av-9 St,4th Av,BMT,R33,608,29,0,0,0
POINT (-73.959399 40.617618),,false,Southbound,Manhattan,-73.959399,40.617618,Open Cut,Q,Bk,Avenue M,Broadway - Brighton,BMT,D34,50,50,0,0,0
POINT (-73.96007 40.688873),,false,Southbound,Queens,-73.96007,40.688873,Subway,G,Bk,Classon Av,Crosstown,IND,G34,290,290,0,0,0
POINT (-73.832569 40.84681),,false,Manhattan,Pelham Bay,-73.832569,40.84681,Elevated,6,Bx,Buhre Av,Pelham,IRT,602,361,361,0,0,0
POINT (-74.014034 40.645069),,false,Southbound,Manhattan,-74.014034,40.645069,Subway,R,Bk,53 St,4th Av,BMT,R40,34,34,0,0,0
POINT (-73.925536 40.860531),,false,Downtown,The Bronx,-73.925536,40.860531,Elevated,1,M,Dyckman St,Broadway - 7Av,IRT,109,299,299,1,1,1
POINT (-74.011862 40.707557),,true,Downtown,Uptown,-74.011862,40.707557,Subway,4 5,M,Wall St,Lexington Av,IRT,419,413,413,0,0,0
POINT (-73.85147 40.679843),,false,Outbound,Manhattan,-73.85147,40.679843,Elevated,A,Q,88 St,Liberty Av,IND,A60,191,191,0,0,0
POINT (-73.992629 40.730328),,true,Downtown,Uptown,-73.992629,40.730328,Subway,R W,M,8 St-NYU,Broadway - Brighton,BMT,R21,16,16,0,0,0
POINT (-73.979137 40.597473),,false,Coney Island,Manhattan,-73.979137,40.597473,Open Cut,N,Bk,Avenue U,Sea Beach,BMT,N09,78,78,0,0,0
POINT (-73.918425 40.703811),,false,Outbound,Manhattan,-73.918425,40.703811,Subway,L,Bk,DeKalb Av,Canarsie,BMT,L16,127,127,0,0,0
POINT (-73.979917 40.783934),,false,Downtown,Uptown,-73.979917,40.783934,Subway,1,M,79 St,Broadway - 7Av,IRT,122,312,312,0,0,0
POINT (-74.003549 40.655144),,false,Southbound,Manhattan,-74.003549,40.655144,Subway,D N R,Bk,36 St,4th Av,BMT,R36,32,32,0,0,0
POINT (-73.837324 40.718331),,false,Manhattan,Jamaica,-73.837324,40.718331,Subway,E F,Q,75 Av,Queens Blvd,IND,F07,260,260,0,0,0
POINT (-73.916559 40.68637),,false,Manhattan,Outbound,-73.916559,40.68637,Elevated,J,Bk,Halsey St,Jamaica,BMT,J29,94,94,0,0,0
POINT (-73.890549 40.820948),,false,Manhattan,Northbound,-73.890549,40.820948,Subway,6,Bx,Hunts Point Av,Pelham,IRT,613,371,371,1,1,1
POINT (-73.993728 40.601875),,false,Southbound,Manhattan,-73.993728,40.601875,Elevated,D,Bk,Bay Pkwy,West End,BMT,B21,68,68,1,1,1
POINT (-73.912385 40.69943),,false,Middle Village,Inbound,-73.912385,40.69943,Elevated,M,Bk,Myrtle-Wyckoff Avs,Myrtle Av,BMT,M08,630,112,1,1,1
POINT (-73.897174 40.86776),,false,Manhattan,Northbound,-73.897174,40.86776,Elevated,4,Bx,Kingsbridge Rd,Jerome Av,IRT,406,381,381,0,0,0
POINT (-74.007691 40.710197),,true,Brooklyn,Uptown,-74.007691,40.710197,Subway,A C,M,Fulton St,8th Av - Fulton St,IND,A38,628,172,1,1,1
POINT (-73.898654 40.676992),,false,Manhattan,Outbound,-73.898654,40.676992,Elevated,J Z,Bk,Alabama Av,Jamaica,BMT,J24,91,91,0,0,0
POINT (-73.990173 40.713715),,true,Brooklyn,Uptown,-73.990173,40.713715,Subway,F,M,East Broadway,6th Av - Culver,IND,F16,234,234,0,0,0
POINT (-73.986229 40.755983),,true,Grand Central,Last Stop,-73.986229,40.755983,Subway,S,M,Times Sq-42 St,Lexington - Shuttle,IRT,902,611,468,1,1,1
POINT (-73.872106 40.675377),,false,Queens,Manhattan,-73.872106,40.675377,Subway,A C,Bk,Euclid Av,8th Av - Fulton St,IND,A55,188,188,1,1,1
POINT (-74.200064 40.525507),,false,South Shore,Ferry,-74.200064,40.525507,Open Cut,SIR,SI,Prince's Bay,Staten Island,SIR,S15,517,517,0,0,0
POINT (-73.99107 40.730054),,true,Downtown,Uptown,-73.99107,40.730054,Subway,6,M,Astor Pl,Lexington Av,IRT,636,407,407,0,0,0
POINT (-73.897749 40.861296),,false,Manhattan,Northbound,-73.897749,40.861296,Subway,B D,Bx,Fordham Rd,Concourse,IND,D05,213,213,0,0,0
POINT (-73.947649 40.817894),,false,Downtown,Uptown,-73.947649,40.817894,Subway,C B,M,135 St,8th Av - Fulton St,IND,A14,152,152,0,0,0
POINT (-73.994304 40.640914),,false,Southbound,Manhattan,-73.994304,40.640914,Elevated,D,Bk,Fort Hamilton Pkwy,West End,BMT,B13,60,60,0,0,0
POINT (-74.007582 40.710374),,true,Downtown,Brooklyn,-74.007582,40.710374,Subway,J Z,M,Fulton St,Jamaica,BMT,M22,628,106,1,1,1
POINT (-73.855334 40.75173),,false,Manhattan,Outbound,-73.855334,40.75173,Elevated,7,Q,111 St,Flushing,IRT,705,449,449,0,0,0
POINT (-73.904046 40.688764),Manhattan-bound only,false,Outbound,Manhattan,-73.904046,40.688764,Subway,L,Bk,Wilson Av,Canarsie,BMT,L20,130,130,0,1,2
POINT (-73.917791 40.840075),,false,Manhattan,Northbound,-73.917791,40.840075,Elevated,4,Bx,170 St,Jerome Av,IRT,412,387,387,1,1,1
POINT (-73.87255 40.689941),,false,Manhattan,Queens,-73.87255,40.689941,Elevated,J,Bk,Cypress Hills,Jamaica,BMT,J19,86,86,0,0,0
POINT (-73.949046 40.694568),,false,Southbound,Queens,-73.949046,40.694568,Subway,G,Bk,Myrtle-Willoughby Avs,Crosstown,IND,G32,288,288,0,0,0
POINT (-73.981637 40.762862),,true,Downtown,Outbound,-73.981637,40.762862,Subway,E B D,M,7 Av,Queens Blvd,IND,D14,277,277,0,0,0
POINT (-73.991777 40.6941),,false,Southbound,Manhattan,-73.991777,40.6941,Subway,R,Bk,Court St,Broadway,BMT,R28,620,24,0,0,0
POINT (-73.907657 40.808719),,false,Manhattan,Northbound,-73.907657,40.808719,Subway,6,Bx,E 143 St-St Mary's St,Pelham,IRT,616,374,374,0,0,0
POINT (-73.939892 40.836013),,false,Downtown,Uptown,-73.939892,40.836013,Subway,C,M,163 St-Amsterdam Av,8th Av - Fulton St,IND,A10,149,149,0,0,0
POINT (-73.755405 40.603995),,false,Last Stop,Manhattan,-73.755405,40.603995,Viaduct,A,Q,Far Rockaway-Mott Av,Rockaway,IND,H11,209,209,1,1,1
POINT (-73.962982 40.650527),,false,Southbound,Manhattan,-73.962982,40.650527,Open Cut,B Q,Bk,Church Av,Broadway - Brighton,BMT,D28,44,44,1,1,1
POINT (-73.861604 40.729846),,false,Manhattan,Outbound,-73.861604,40.729846,Subway,M R,Q,63 Dr-Rego Park,Queens Blvd,IND,G10,263,263,0,0,0
POINT (-74.006277 40.722854),,true,Downtown,Uptown,-74.006277,40.722854,Subway,1,M,Canal St,Broadway - 7Av,IRT,135,325,325,0,0,0
POINT (-73.966113 40.764629),,false,Downtown,Uptown & Queens,-73.966113,40.764629,Subway,M Q,M,Lexington Av/63 St,63rd St,IND,B08,223,223,1,1,1
POINT (-73.86001 40.692435),,false,Manhattan,Jamaica,-73.86001,40.692435,Elevated,J,Q,85 St-Forest Pkwy,Jamaica,BMT,J16,84,84,0,0,0
POINT (-73.990414 40.620671),,false,Coney Island,Manhattan,-73.990414,40.620671,Open Cut,N,Bk,18 Av,Sea Beach,BMT,N05,74,74,0,0,0
POINT (-73.920786 40.678822),,false,Outbound,Manhattan,-73.920786,40.678822,Subway,C,Bk,Ralph Av,8th Av - Fulton St,IND,A49,182,182,0,0,0
POINT (-73.91924 40.807566),,false,Manhattan,Northbound,-73.91924,40.807566,Subway,6,Bx,Brook Av,Pelham,IRT,618,376,376,0,0,0
POINT (-73.94077 40.814229),,false,Downtown,Uptown,-73.94077,40.814229,Subway,2 3,M,135 St,Lenox - White Plains Rd,IRT,224,438,438,1,1,1
POINT (-73.988691 40.745494),,true,Downtown,Uptown,-73.988691,40.745494,Subway,R W,M,28 St,Broadway - Brighton,BMT,R18,13,13,0,0,0
POINT (-73.945264 40.747023),,false,Manhattan,Outbound,-73.945264,40.747023,Elevated,7,Q,Court Sq,Flushing,IRT,719,606,462,1,1,1
POINT (-73.768175 40.595398),,false,Far Rockaway,Manhattan,-73.768175,40.595398,Viaduct,A,Q,Beach 36 St,Rockaway,IND,H09,207,207,0,0,0
POINT (-73.944053 40.714565),,false,Outbound,Manhattan,-73.944053,40.714565,Subway,L,Bk,Graham Av,Canarsie,BMT,L11,122,122,0,0,0
POINT (-73.837683 40.681711),,false,Ozone Park,Manhattan,-73.837683,40.681711,Elevated,A,Q,104 St,Liberty Av,IND,A63,193,193,0,0,0
POINT (-73.97192 40.757107),,true,Downtown,Uptown,-73.97192,40.757107,Subway,6,M,51 St,Lexington Av,IRT,630,612,401,1,1,1
POINT (-73.90324 40.678856),,false,Outbound,Manhattan,-73.90324,40.678856,Elevated,L,Bk,Broadway Junction,Canarsie,BMT,L22,621,132,0,0,0
POINT (-73.954155 40.586896),,false,Southbound,Manhattan,-73.954155,40.586896,Open Cut,B Q,Bk,Sheepshead Bay,Broadway - Brighton,BMT,D39,54,54,1,1,1
POINT (-73.989779 40.670272),,false,Southbound,Northbound,-73.989779,40.670272,Viaduct,F G,Bk,4 Av-9 St,6th Av - Culver,IND,F23,608,239,0,0,0
POINT (-74.242096 40.516578),,false,Tottenville,Ferry,-74.242096,40.516578,At Grade,SIR,SI,Arthur Kill,Staten Island,SIR,S11,523,523,1,1,1
POINT (-73.844521 40.721691),,false,Manhattan,Outbound,-73.844521,40.721691,Subway,E F M R,Q,Forest Hills-71 Av,Queens Blvd,IND,G08,261,261,1,1,1
POINT (-74.028398 40.622687),,false,Bay Ridge,Manhattan,-74.028398,40.622687,Subway,R,Bk,86 St,4th Av,BMT,R44,38,38,1,1,1
POINT (-73.964375 40.671987),,false,Outbound,Manhattan,-73.964375,40.671987,Subway,2 3,Bk,Eastern Pkwy-Brooklyn Museum,Eastern Pky,IRT,238,341,341,1,1,1
POINT (-74.013342 40.70722),,true,Downtown,Uptown,-74.013342,40.70722,Subway,R W,M,Rector St,Broadway,BMT,R26,22,22,0,0,0
POINT (-73.807969 40.700486),,false,Manhattan,Jamaica,-73.807969,40.700486,Subway,E J Z,Q,Sutphin Blvd-Archer Av-JFK Airport,Queens - Archer,IND,G06,279,279,1,1,1
POINT (-73.939704 40.847391),,false,Downtown,Uptown,-73.939704,40.847391,Subway,A,M,175 St,8th Av - Fulton St,IND,A07,147,147,1,1,1
POINT (-73.996786 40.737335),,true,Brooklyn,West Side,-73.996786,40.737335,Subway,L,M,6 Av,Canarsie,BMT,L02,601,116,1,1,1
POINT (-73.911794 40.84848),,false,Manhattan,Northbound,-73.911794,40.84848,Elevated,4,Bx,176 St,Jerome Av,IRT,410,385,385,0,0,0
POINT (-74.084087 40.603117),,false,South Shore,Ferry,-74.084087,40.603117,Open Cut,SIR,SI,Grasmere,Staten Island,SIR,S27,505,505,0,0,0
POINT (-73.976218 40.788644),,false,Downtown,Uptown,-73.976218,40.788644,Subway,1,M,86 St,Broadway - 7Av,IRT,121,311,311,0,0,0
POINT (-73.953431 40.70687),,false,Manhattan,Outbound,-73.953431,40.70687,Elevated,M J,Bk,Hewes St,Jamaica,BMT,M14,100,100,0,0,0
POINT (-74.003739 40.726227),Downtown only,true,Downtown,Uptown,-74.003739,40.726227,Subway,C E,M,Spring St,8th Av - Fulton St,IND,A33,168,168,1,0,2
POINT (-73.967258 40.76266),,true,Downtown,Queens,-73.967258,40.76266,Subway,N R W,M,Lexington Av/59 St,Astoria,BMT,R11,613,7,0,0,0
POINT (-73.996204 40.725297),,true,Downtown,Uptown,-73.996204,40.725297,Subway,B D F M,M,Broadway-Lafayette St,6th Av - Culver,IND,D21,619,230,1,1,1
POINT (-73.867618 40.831509),,false,Manhattan,Northbound,-73.867618,40.831509,Elevated,6,Bx,St Lawrence Av,Pelham,IRT,609,367,367,0,0,0
POINT (-74.005351 40.631386),,false,Coney Island,Manhattan,-74.005351,40.631386,Open Cut,N,Bk,Fort Hamilton Pkwy,Sea Beach,BMT,N03,72,72,0,0,0
POINT (-73.854376 40.898379),,false,Manhattan,Northbound,-73.854376,40.898379,Elevated,2 5,Bx,Nereid Av,Lenox - White Plains Rd,IRT,204,417,417,0,0,0
POINT (-73.98311 40.677316),,false,Southbound,Manhattan,-73.98311,40.677316,Subway,R,Bk,Union St,4th Av,BMT,R32,28,28,0,0,0
POINT (-73.803326 40.707564),,false,Manhattan,Jamaica,-73.803326,40.707564,Subway,F,Q,Parsons Blvd,Queens Blvd,IND,F03,256,256,0,0,0
POINT (-73.926718 40.81841),,false,Manhattan,Northbound,-73.926718,40.81841,Subway,2 5,Bx,149 St-Grand Concourse,Lenox - White Plains Rd,IRT,222,603,435,0,0,0
POINT (-73.985984 40.762456),Downtown only,true,Downtown,Uptown,-73.985984,40.762456,Subway,C E,M,50 St,8th Av - Fulton St,IND,A25,162,162,1,0,2
POINT (-73.898583 40.889248),,false,Manhattan,Last Stop,-73.898583,40.889248,Elevated,1,Bx,Van Cortlandt Park-242 St,Broadway - 7Av,IRT,101,293,293,0,0,0
POINT (-73.83003 40.7596),,false,Manhattan,Last Stop,-73.83003,40.7596,Subway,7,Q,Flushing-Main St,Flushing,IRT,701,447,447,1,1,1
POINT (-73.928781 40.752039),,false,Manhattan,Outbound,-73.928781,40.752039,Subway,M R,Q,36 St,Queens Blvd,IND,G20,272,272,0,0,0
POINT (-73.953581 40.742626),,false,Manhattan,Outbound,-73.953581,40.742626,Subway,7,Q,Vernon Blvd-Jackson Av,Flushing,IRT,721,464,464,0,0,0
POINT (-73.965838 40.683263),,false,Outbound,Manhattan,-73.965838,40.683263,Subway,C,Bk,Clinton-Washington Avs,8th Av - Fulton St,IND,A44,177,177,0,0,0
POINT (-73.982076 40.746081),,true,Downtown,Uptown,-73.982076,40.746081,Subway,6,M,33 St,Lexington Av,IRT,632,403,403,0,0,0
POINT (-73.987437 40.718315),,true,Inbound,Brooklyn,-73.987437,40.718315,Subway,M J Z,M,Delancey St-Essex St,Jamaica,BMT,M18,625,102,0,0,0
POINT (-73.97689 40.68446),,false,Southbound,Manhattan,-73.97689,40.68446,Subway,B Q,Bk,Atlantic Av-Barclays Ctr,Broadway - Brighton,BMT,D24,617,40,1,1,1
POINT (-73.950466 40.669847),,false,Outbound,Manhattan,-73.950466,40.669847,Subway,3,Bk,Nostrand Av,Eastern Pky,IRT,248,343,343,0,0,0
POINT (-73.993391 40.752287),,true,Downtown,Uptown,-73.993391,40.752287,Subway,A C E,M,34 St-Penn Station,8th Av - Fulton St,IND,A28,164,164,1,1,1
POINT (-73.981329 40.758663),,true,Downtown,Uptown,-73.981329,40.758663,Subway,B D F M,M,47-50 Sts-Rockefeller Ctr,6th Av - Culver,IND,D15,225,225,1,1,1
POINT (-73.940202 40.750582),,false,Manhattan,Outbound,-73.940202,40.750582,Elevated,7,Q,Queensboro Plaza,Flushing,IRT,718,461,461,1,1,1
POINT (-73.95085 40.662742),,false,Flatbush,Manhattan,-73.95085,40.662742,Subway,2 5,Bk,Sterling St,Nostrand,IRT,242,354,354,0,0,0
POINT (-73.972361 40.603217),,false,Southbound,Manhattan,-73.972361,40.603217,Elevated,F,Bk,Kings Hwy,6th Av - Culver,IND,F35,250,250,0,0,0
POINT (-73.900571 40.664038),,false,Canarsie,Manhattan,-73.900571,40.664038,Elevated,L,Bk,Livonia Av,Canarsie,BMT,L26,135,135,1,1,1
POINT (-74.000495 40.732338),,true,Downtown,Uptown,-74.000495,40.732338,Subway,A C E,M,W 4 St-Wash Sq,8th Av - Fulton St,IND,A32,167,167,1,1,1
POINT (-73.927351 40.818375),,false,Manhattan,Northbound,-73.927351,40.818375,Subway,4,Bx,149 St-Grand Concourse,Jerome Av,IRT,415,603,390,0,0,0
